Name,Best LB,Best UB,Status
N216W10000-001,72,72,Solved
N216W10000-002,72,72,Solved
N216W10000-003,72,72,Solved
N216W10000-004,72,72,Solved
N216W10000-005,72,72,Solved
N216W10000-006,72,72,Solved
N216W10000-007,72,72,Solved
N216W10000-008,72,73,Open
N216W10000-009,72,72,Solved
N216W10000-010,72,72,Solved
N216W10000-011,72,72,Solved
N216W10000-012,72,72,Solved
N216W10000-013,72,72,Solved
N216W10000-014,72,72,Solved
N216W10000-015,72,72,Solved
N216W10000-016,72,72,Solved
N216W10000-017,72,72,Solved
N216W10000-018,72,73,Open
N216W10000-019,72,73,Open
N216W10000-020,72,72,Solved
N216W10000-021,72,72,Solved
N216W10000-022,72,72,Solved
N216W10000-023,72,72,Solved
N216W10000-024,72,72,Solved
N216W10000-025,72,72,Solved
N216W10000-026,72,72,Solved
N216W10000-027,72,72,Solved
N216W10000-028,72,72,Solved
N216W10000-029,72,73,Open
N216W10000-030,72,72,Solved
N216W10000-031,72,72,Solved
N216W10000-032,72,72,Solved
N216W10000-033,72,73,Open
N216W10000-034,72,72,Solved
N216W10000-035,72,72,Solved
N216W10000-036,72,72,Solved
N216W10000-037,72,72,Solved
N216W10000-038,72,73,Open
N216W10000-039,72,72,Solved
N216W10000-040,72,72,Solved
N216W10000-041,72,72,Solved
N216W10000-042,72,72,Solved
N216W10000-043,72,72,Solved
N216W10000-044,72,72,Solved
N216W10000-045,72,72,Solved
N216W10000-046,72,72,Solved
N216W10000-047,72,72,Solved
N216W10000-048,72,72,Solved
N216W10000-049,72,72,Solved
N216W10000-050,72,72,Solved
N405W15000-001,135,135,Solved
N405W15000-002,135,135,Solved
N405W15000-003,135,135,Solved
N405W15000-004,135,135,Solved
N405W15000-005,135,136,Open
N405W15000-006,135,136,Open
N405W15000-007,135,135,Solved
N405W15000-008,135,136,Open
N405W15000-009,135,135,Solved
N405W15000-010,135,136,Open
N405W15000-011,135,135,Solved
N405W15000-012,135,135,Solved
N405W15000-013,135,136,Open
N405W15000-014,135,135,Solved
N405W15000-015,135,135,Solved
N405W15000-016,135,135,Solved
N405W15000-017,135,135,Solved
N405W15000-018,135,135,Solved
N405W15000-019,135,135,Solved
N405W15000-020,135,135,Solved
N405W15000-021,135,135,Solved
N405W15000-022,135,136,Open
N405W15000-023,135,136,Open
N405W15000-024,135,135,Solved
N405W15000-025,135,135,Solved
N405W15000-026,135,135,Solved
N405W15000-027,135,135,Solved
N405W15000-028,135,135,Solved
N405W15000-029,135,135,Solved
N405W15000-030,135,136,Open
N405W15000-031,135,136,Open
N405W15000-032,135,135,Solved
N405W15000-033,135,135,Solved
N405W15000-034,135,135,Solved
N405W15000-035,135,135,Solved
N405W15000-036,135,135,Solved
N405W15000-037,135,135,Solved
N405W15000-038,135,136,Open
N405W15000-039,135,136,Open
N405W15000-040,135,136,Open
N405W15000-041,135,135,Solved
N405W15000-042,135,136,Open
N405W15000-043,135,135,Solved
N405W15000-044,135,135,Solved
N405W15000-045,135,136,Open
N405W15000-046,135,136,Open
N405W15000-047,135,135,Solved
N405W15000-048,135,135,Solved
N405W15000-049,135,135,Solved
N405W15000-050,135,135,Solved
N648W20000-001,216,217,Open
N648W20000-002,216,217,Open
N648W20000-003,216,217,Open
N648W20000-004,216,216,Solved
N648W20000-005,216,217,Open
N648W20000-006,216,217,Open
N648W20000-007,216,216,Solved
N648W20000-008,216,217,Open
N648W20000-009,216,217,Open
N648W20000-010,216,217,Open
N648W20000-011,216,217,Open
N648W20000-012,216,217,Open
N648W20000-013,216,216,Solved
N648W20000-014,216,217,Open
N648W20000-015,216,217,Open
N648W20000-016,216,217,Open
N648W20000-017,216,216,Solved
N648W20000-018,216,217,Open
N648W20000-019,216,217,Open
N648W20000-020,216,217,Open
N648W20000-021,216,217,Open
N648W20000-022,216,217,Open
N648W20000-023,216,217,Open
N648W20000-024,216,217,Open
N648W20000-025,216,217,Open
N648W20000-026,216,217,Open
N648W20000-027,216,216,Solved
N648W20000-028,216,216,Solved
N648W20000-029,216,217,Open
N648W20000-030,216,216,Solved
N648W20000-031,216,217,Open
N648W20000-032,216,217,Open
N648W20000-033,216,216,Solved
N648W20000-034,216,216,Solved
N648W20000-035,216,216,Solved
N648W20000-036,216,216,Solved
N648W20000-037,216,216,Solved
N648W20000-038,216,217,Open
N648W20000-039,216,216,Solved
N648W20000-040,216,217,Open
N648W20000-041,216,217,Open
N648W20000-042,216,217,Open
N648W20000-043,216,217,Open
N648W20000-044,216,217,Open
N648W20000-045,216,217,Open
N648W20000-046,216,217,Open
N648W20000-047,216,217,Open
N648W20000-048,216,217,Open
N648W20000-049,216,217,Open
N648W20000-050,216,217,Open
