label,round,parameter,value,runs,avg_gap,worst_dataset_avg_gap,best_gap,worst_gap,exact_hits,avg_time,num_ants,generations,alpha,beta,evaporation_rate,pheromone_init,pheromone_min,pheromone_max,elite_ants,local_search_steps,deposit_strength
ACO/falkenauer-t,0,initial,,3,2.0,2.0,2,2,0,0.2854128756674375,16,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,num_ants,10,3,2.0,2.0,2,2,0,0.1994345229989752,10,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,num_ants,16,3,2.0,2.0,2,2,0,0.2877433883343959,16,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,num_ants,24,3,2.0,2.0,2,2,0,0.4054571366662761,24,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,num_ants,32,3,2.0,2.0,2,2,0,0.5257382019990473,32,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,generations,40,3,2.0,2.0,2,2,0,0.09969479200177982,10,40,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,generations,80,3,2.0,2.0,2,2,0,0.19894611366544268,10,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,generations,120,3,2.0,2.0,2,2,0,0.2977635753328893,10,120,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,generations,200,3,2.0,2.0,2,2,0,0.4956633199993424,10,200,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,alpha,0.5,3,2.0,2.0,2,2,0,0.09952890000204206,10,40,0.5,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,alpha,1.0,3,2.0,2.0,2,2,0,0.09977000266856824,10,40,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,alpha,1.5,3,2.0,2.0,2,2,0,0.09971284066826532,10,40,1.5,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,alpha,2.0,3,2.0,2.0,2,2,0,0.09893970900157001,10,40,2.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,beta,2.0,3,2.0,2.0,2,2,0,0.09984577999906226,10,40,2.0,2.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,beta,3.0,3,2.0,2.0,2,2,0,0.09881979000056162,10,40,2.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,beta,4.0,3,2.0,2.0,2,2,0,0.09864078166719992,10,40,2.0,4.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,beta,5.0,3,2.0,2.0,2,2,0,0.0980685216660883,10,40,2.0,5.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,evaporation_rate,0.1,3,2.0,2.0,2,2,0,0.09895291100110626,10,40,2.0,5.0,0.1,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,evaporation_rate,0.2,3,2.0,2.0,2,2,0,0.09801627599881613,10,40,2.0,5.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,evaporation_rate,0.35,3,2.0,2.0,2,2,0,0.0976153033322286,10,40,2.0,5.0,0.35,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,evaporation_rate,0.5,3,2.0,2.0,2,2,0,0.09737110633310901,10,40,2.0,5.0,0.5,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,elite_ants,1,3,2.0,2.0,2,2,0,0.0968588856679465,10,40,2.0,5.0,0.5,1.0,0.01,6.0,1,40,1000.0
ACO/falkenauer-t,1,elite_ants,2,3,2.0,2.0,2,2,0,0.09723800166708922,10,40,2.0,5.0,0.5,1.0,0.01,6.0,2,40,1000.0
ACO/falkenauer-t,1,elite_ants,3,3,2.0,2.0,2,2,0,0.09799592933389552,10,40,2.0,5.0,0.5,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-t,1,elite_ants,5,3,2.0,2.0,2,2,0,0.09822866733278109,10,40,2.0,5.0,0.5,1.0,0.01,6.0,5,40,1000.0
ACO/falkenauer-t,1,local_search_steps,0,3,2.0,2.0,2,2,0,0.08412327000041842,10,40,2.0,5.0,0.5,1.0,0.01,6.0,1,0,1000.0
ACO/falkenauer-t,1,local_search_steps,20,3,2.0,2.0,2,2,0,0.09049257399965427,10,40,2.0,5.0,0.5,1.0,0.01,6.0,1,20,1000.0
ACO/falkenauer-t,1,local_search_steps,40,3,2.0,2.0,2,2,0,0.09746583600038623,10,40,2.0,5.0,0.5,1.0,0.01,6.0,1,40,1000.0
ACO/falkenauer-t,1,local_search_steps,80,3,2.0,2.0,2,2,0,0.11128416000065044,10,40,2.0,5.0,0.5,1.0,0.01,6.0,1,80,1000.0
ACO/falkenauer-t,1,deposit_strength,100.0,3,2.0,2.0,2,2,0,0.08652946100119152,10,40,2.0,5.0,0.5,1.0,0.01,6.0,1,0,100.0
ACO/falkenauer-t,1,deposit_strength,500.0,3,2.0,2.0,2,2,0,0.08653424399987368,10,40,2.0,5.0,0.5,1.0,0.01,6.0,1,0,500.0
ACO/falkenauer-t,1,deposit_strength,1000.0,3,2.0,2.0,2,2,0,0.0843082436658733,10,40,2.0,5.0,0.5,1.0,0.01,6.0,1,0,1000.0
ACO/falkenauer-t,1,deposit_strength,5000.0,3,2.0,2.0,2,2,0,0.08387293766524333,10,40,2.0,5.0,0.5,1.0,0.01,6.0,1,0,5000.0
