label,round,parameter,value,runs,avg_gap,worst_dataset_avg_gap,best_gap,worst_gap,exact_hits,avg_time,num_ants,generations,alpha,beta,evaporation_rate,pheromone_init,pheromone_min,pheromone_max,elite_ants,local_search_steps,deposit_strength
ACO/falkenauer-u,0,initial,,6,1.0,1.0,1,1,0,2.2704571086669603,16,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,num_ants,10,6,1.0,1.0,1,1,0,1.541199766833112,10,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,num_ants,16,6,1.0,1.0,1,1,0,2.268889537999712,16,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,num_ants,24,6,1.0,1.0,1,1,0,3.2377469448329066,24,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,num_ants,32,6,1.0,1.0,1,1,0,4.389067826833222,32,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,generations,40,6,1.0,1.0,1,1,0,0.8079275603340648,10,40,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,generations,80,6,1.0,1.0,1,1,0,1.5788967781669878,10,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,generations,120,6,1.0,1.0,1,1,0,2.2870119331673777,10,120,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,generations,200,6,1.0,1.0,1,1,0,3.8137218823333874,10,200,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,alpha,0.5,6,1.0,1.0,1,1,0,0.7740663113333236,10,40,0.5,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,alpha,1.0,6,1.0,1.0,1,1,0,0.7752859899998535,10,40,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,alpha,1.5,6,1.0,1.0,1,1,0,0.7751179248328602,10,40,1.5,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/falkenauer-u,1,alpha,2.0,6,1.0,1.0,1,1,0,0.775288299000143,10,40,2.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
