label,round,parameter,value,runs,avg_gap,worst_dataset_avg_gap,best_gap,worst_gap,exact_hits,avg_time,num_ants,generations,alpha,beta,evaporation_rate,pheromone_init,pheromone_min,pheromone_max,elite_ants,local_search_steps,deposit_strength
ACO/global,0,initial,,24,1.777777777777778,4.0,0,4,3,1.294031023655427,16,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,num_ants,10,24,1.8,4.0,0,4,3,0.8834488111999438,10,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,num_ants,16,24,1.777777777777778,4.0,0,4,3,1.3271856241220827,16,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,num_ants,24,24,1.7555555555555558,4.0,0,4,3,1.8071615764111104,24,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,num_ants,32,24,1.7555555555555558,4.0,0,4,3,2.354445155277891,32,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,generations,40,24,1.8,4.0,0,4,3,0.9135030877447207,24,40,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,generations,80,24,1.7555555555555558,4.0,0,4,3,1.8109203254334514,24,80,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,generations,120,24,1.6666666666666667,4.0,0,4,3,2.708174517055441,24,120,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,generations,200,24,1.6666666666666667,4.0,0,4,3,4.736852172599963,24,200,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,alpha,0.5,24,1.6666666666666667,4.0,0,4,3,2.837503088544347,24,120,0.5,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,alpha,1.0,24,1.6666666666666667,4.0,0,4,3,2.776930939889159,24,120,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,alpha,1.5,24,1.6888888888888889,4.0,0,4,3,2.849991849688801,24,120,1.5,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,alpha,2.0,24,1.7333333333333332,4.0,0,4,3,2.7969543980112777,24,120,2.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,beta,2.0,24,1.6,4.0,0,4,3,2.7328919619110414,24,120,1.0,2.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,beta,3.0,24,1.6666666666666667,4.0,0,4,3,2.7018696644221767,24,120,1.0,3.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,beta,4.0,24,1.8,4.0,0,4,3,2.673222325421941,24,120,1.0,4.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,beta,5.0,24,1.7555555555555558,4.0,0,4,3,2.781516383444432,24,120,1.0,5.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,evaporation_rate,0.1,24,1.6666666666666667,4.0,0,4,3,2.870413754033305,24,120,1.0,2.0,0.1,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,evaporation_rate,0.2,24,1.6,4.0,0,4,3,2.871271195933473,24,120,1.0,2.0,0.2,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,evaporation_rate,0.35,24,1.6666666666666667,4.0,0,4,3,2.7801241827778638,24,120,1.0,2.0,0.35,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,evaporation_rate,0.5,24,1.6,4.0,0,4,3,2.711786365499696,24,120,1.0,2.0,0.5,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,elite_ants,1,24,1.6,4.0,0,4,3,2.7186406246334727,24,120,1.0,2.0,0.5,1.0,0.01,6.0,1,40,1000.0
ACO/global,1,elite_ants,2,24,1.6,4.0,0,4,3,2.7154965493115015,24,120,1.0,2.0,0.5,1.0,0.01,6.0,2,40,1000.0
ACO/global,1,elite_ants,3,24,1.6,4.0,0,4,3,2.7189495021326975,24,120,1.0,2.0,0.5,1.0,0.01,6.0,3,40,1000.0
ACO/global,1,elite_ants,5,24,1.6666666666666667,4.0,0,4,3,2.732972282721999,24,120,1.0,2.0,0.5,1.0,0.01,6.0,5,40,1000.0
ACO/global,1,local_search_steps,0,24,1.6888888888888889,4.0,0,4,3,2.6531651929336575,24,120,1.0,2.0,0.5,1.0,0.01,6.0,2,0,1000.0
ACO/global,1,local_search_steps,20,24,1.6222222222222222,3.6666666666666665,0,4,3,2.7722902121327127,24,120,1.0,2.0,0.5,1.0,0.01,6.0,2,20,1000.0
ACO/global,1,local_search_steps,40,24,1.6,4.0,0,4,3,2.8642112520779643,24,120,1.0,2.0,0.5,1.0,0.01,6.0,2,40,1000.0
ACO/global,1,local_search_steps,80,24,1.6666666666666667,4.0,0,4,3,2.814851935577786,24,120,1.0,2.0,0.5,1.0,0.01,6.0,2,80,1000.0
ACO/global,1,deposit_strength,100.0,24,1.6666666666666667,4.0,0,4,3,2.719370266777696,24,120,1.0,2.0,0.5,1.0,0.01,6.0,2,40,100.0
ACO/global,1,deposit_strength,500.0,24,1.6666666666666667,4.0,0,4,3,2.7059090944557584,24,120,1.0,2.0,0.5,1.0,0.01,6.0,2,40,500.0
ACO/global,1,deposit_strength,1000.0,24,1.6,4.0,0,4,3,2.713189154710805,24,120,1.0,2.0,0.5,1.0,0.01,6.0,2,40,1000.0
ACO/global,1,deposit_strength,5000.0,24,1.6666666666666667,4.0,0,4,3,2.716975943544215,24,120,1.0,2.0,0.5,1.0,0.01,6.0,2,40,5000.0
