label,round,parameter,value,runs,avg_gap,worst_dataset_avg_gap,best_gap,worst_gap,exact_hits,avg_time,population_size,generations,crossover_rate,mutation_rate,elite_count,tournament_k
GA/falkenauer-t,0,initial,,3,1.6666666666666667,1.6666666666666667,1,2,0,2.3788733999996716,60,400,0.85,0.2,4,4
GA/falkenauer-t,1,population_size,20,3,1.6666666666666667,1.6666666666666667,1,2,0,0.6563854866678108,20,400,0.85,0.2,4,4
GA/falkenauer-t,1,population_size,40,3,1.6666666666666667,1.6666666666666667,1,2,0,1.5051343093327887,40,400,0.85,0.2,4,4
GA/falkenauer-t,1,population_size,60,3,1.6666666666666667,1.6666666666666667,1,2,0,2.434281274666622,60,400,0.85,0.2,4,4
GA/falkenauer-t,1,population_size,100,3,1.6666666666666667,1.6666666666666667,1,2,0,4.1597121256672835,100,400,0.85,0.2,4,4
GA/falkenauer-t,1,generations,100,3,1.6666666666666667,1.6666666666666667,1,2,0,0.15752882000257765,20,100,0.85,0.2,4,4
GA/falkenauer-t,1,generations,200,3,1.6666666666666667,1.6666666666666667,1,2,0,0.32749400033208076,20,200,0.85,0.2,4,4
GA/falkenauer-t,1,generations,300,3,1.6666666666666667,1.6666666666666667,1,2,0,0.5057424353350749,20,300,0.85,0.2,4,4
GA/falkenauer-t,1,generations,400,3,1.6666666666666667,1.6666666666666667,1,2,0,0.6393348443331585,20,400,0.85,0.2,4,4
GA/falkenauer-t,1,crossover_rate,0.5,3,1.6666666666666667,1.6666666666666667,1,2,0,0.1460003519981304,20,100,0.5,0.2,4,4
GA/falkenauer-t,1,crossover_rate,0.7,3,1.6666666666666667,1.6666666666666667,1,2,0,0.14991580133331203,20,100,0.7,0.2,4,4
GA/falkenauer-t,1,crossover_rate,0.85,3,1.6666666666666667,1.6666666666666667,1,2,0,0.16346598433422818,20,100,0.85,0.2,4,4
GA/falkenauer-t,1,crossover_rate,0.95,3,1.6666666666666667,1.6666666666666667,1,2,0,0.16592488966731858,20,100,0.95,0.2,4,4
GA/falkenauer-t,1,mutation_rate,0.05,3,1.6666666666666667,1.6666666666666667,1,2,0,0.14027215533375662,20,100,0.5,0.05,4,4
GA/falkenauer-t,1,mutation_rate,0.1,3,1.6666666666666667,1.6666666666666667,1,2,0,0.13278359533433104,20,100,0.5,0.1,4,4
GA/falkenauer-t,1,mutation_rate,0.2,3,1.6666666666666667,1.6666666666666667,1,2,0,0.14182103899899326,20,100,0.5,0.2,4,4
GA/falkenauer-t,1,mutation_rate,0.4,3,1.6666666666666667,1.6666666666666667,1,2,0,0.1494345919988215,20,100,0.5,0.4,4,4
GA/falkenauer-t,1,elite_count,2,3,1.6666666666666667,1.6666666666666667,1,2,0,0.15679840333298975,20,100,0.5,0.1,2,4
GA/falkenauer-t,1,elite_count,4,3,1.6666666666666667,1.6666666666666667,1,2,0,0.13380134366525454,20,100,0.5,0.1,4,4
GA/falkenauer-t,1,elite_count,6,3,1.6666666666666667,1.6666666666666667,1,2,0,0.11981954866617646,20,100,0.5,0.1,6,4
GA/falkenauer-t,1,elite_count,8,3,1.6666666666666667,1.6666666666666667,1,2,0,0.10331026233203981,20,100,0.5,0.1,8,4
GA/falkenauer-t,1,tournament_k,2,3,1.6666666666666667,1.6666666666666667,1,2,0,0.10488684399994479,20,100,0.5,0.1,8,2
GA/falkenauer-t,1,tournament_k,3,3,1.6666666666666667,1.6666666666666667,1,2,0,0.10055612166858434,20,100,0.5,0.1,8,3
GA/falkenauer-t,1,tournament_k,4,3,1.6666666666666667,1.6666666666666667,1,2,0,0.10795659699821651,20,100,0.5,0.1,8,4
GA/falkenauer-t,1,tournament_k,6,3,1.6666666666666667,1.6666666666666667,1,2,0,0.11708533866719033,20,100,0.5,0.1,8,6
