label,round,parameter,value,runs,avg_gap,worst_dataset_avg_gap,best_gap,worst_gap,exact_hits,avg_time,population_size,generations,crossover_rate,mutation_rate,elite_count,tournament_k
GA/falkenauer-u,0,initial,,3,1.0,1.0,1,1,0,4.807960417000383,60,400,0.85,0.2,4,4
GA/falkenauer-u,1,population_size,20,3,1.0,1.0,1,1,0,1.3555980350004877,20,400,0.85,0.2,4,4
GA/falkenauer-u,1,population_size,40,3,1.0,1.0,1,1,0,3.1368051926680587,40,400,0.85,0.2,4,4
GA/falkenauer-u,1,population_size,60,3,1.0,1.0,1,1,0,5.008548399999806,60,400,0.85,0.2,4,4
GA/falkenauer-u,1,population_size,100,3,1.0,1.0,1,1,0,8.618497092331381,100,400,0.85,0.2,4,4
GA/falkenauer-u,1,generations,100,3,1.0,1.0,1,1,0,0.3659727893330758,20,100,0.85,0.2,4,4
GA/falkenauer-u,1,generations,200,3,1.0,1.0,1,1,0,0.6927936733336537,20,200,0.85,0.2,4,4
GA/falkenauer-u,1,generations,300,3,1.0,1.0,1,1,0,1.033583917333696,20,300,0.85,0.2,4,4
GA/falkenauer-u,1,generations,400,3,1.0,1.0,1,1,0,1.3629066650003854,20,400,0.85,0.2,4,4
GA/falkenauer-u,1,crossover_rate,0.5,3,1.0,1.0,1,1,0,0.29759269866675214,20,100,0.5,0.2,4,4
GA/falkenauer-u,1,crossover_rate,0.7,3,1.0,1.0,1,1,0,0.327346064333445,20,100,0.7,0.2,4,4
GA/falkenauer-u,1,crossover_rate,0.85,3,1.0,1.0,1,1,0,0.3379097990000446,20,100,0.85,0.2,4,4
GA/falkenauer-u,1,crossover_rate,0.95,3,1.0,1.0,1,1,0,0.35610675066466985,20,100,0.95,0.2,4,4
GA/falkenauer-u,1,mutation_rate,0.05,3,1.0,1.0,1,1,0,0.26461496433330467,20,100,0.5,0.05,4,4
GA/falkenauer-u,1,mutation_rate,0.1,3,1.0,1.0,1,1,0,0.29081903666641057,20,100,0.5,0.1,4,4
GA/falkenauer-u,1,mutation_rate,0.2,3,1.0,1.0,1,1,0,0.29201124966857606,20,100,0.5,0.2,4,4
GA/falkenauer-u,1,mutation_rate,0.4,3,1.0,1.0,1,1,0,0.2968546823321958,20,100,0.5,0.4,4,4
GA/falkenauer-u,1,elite_count,2,3,1.0,1.0,1,1,0,0.30978238766814076,20,100,0.5,0.05,2,4
GA/falkenauer-u,1,elite_count,4,3,1.0,1.0,1,1,0,0.2766000126672831,20,100,0.5,0.05,4,4
GA/falkenauer-u,1,elite_count,6,3,1.0,1.0,1,1,0,0.23220256499917014,20,100,0.5,0.05,6,4
GA/falkenauer-u,1,elite_count,8,3,1.0,1.0,1,1,0,0.2106202856678768,20,100,0.5,0.05,8,4
GA/falkenauer-u,1,tournament_k,2,3,1.0,1.0,1,1,0,0.21620034166699043,20,100,0.5,0.05,8,2
GA/falkenauer-u,1,tournament_k,3,3,1.0,1.0,1,1,0,0.2119129866672059,20,100,0.5,0.05,8,3
GA/falkenauer-u,1,tournament_k,4,3,1.0,1.0,1,1,0,0.21406082266670032,20,100,0.5,0.05,8,4
GA/falkenauer-u,1,tournament_k,6,3,1.0,1.0,1,1,0,0.2257690269992357,20,100,0.5,0.05,8,6
