label,round,parameter,value,runs,avg_gap,worst_dataset_avg_gap,best_gap,worst_gap,exact_hits,avg_time,population_size,generations,crossover_rate,mutation_rate,elite_count,tournament_k
GA/global,0,initial,,21,1.8444444444444443,4.0,0,4,3,5.5399282660887454,60,400,0.85,0.2,4,4
GA/global,1,population_size,20,21,1.911111111111111,4.0,0,5,3,1.1095511471108896,20,400,0.85,0.2,4,4
GA/global,1,population_size,40,21,1.8888888888888888,4.0,0,5,3,2.755008389332943,40,400,0.85,0.2,4,4
GA/global,1,population_size,60,21,1.8444444444444443,4.0,0,4,3,4.574353120067503,60,400,0.85,0.2,4,4
GA/global,1,population_size,100,21,1.8666666666666667,4.0,0,4,3,7.15181710484394,100,400,0.85,0.2,4,4
GA/global,1,generations,100,21,1.8444444444444443,4.0,0,4,3,1.2062505248446542,60,100,0.85,0.2,4,4
GA/global,1,generations,200,21,1.8444444444444443,4.0,0,4,3,2.3960674654889673,60,200,0.85,0.2,4,4
GA/global,1,generations,300,21,1.8444444444444443,4.0,0,4,3,3.0022928167999554,60,300,0.85,0.2,4,4
GA/global,1,generations,400,21,1.8444444444444443,4.0,0,4,3,3.98014371815621,60,400,0.85,0.2,4,4
GA/global,1,crossover_rate,0.5,21,1.8666666666666667,4.0,0,4,3,0.8496690348443938,60,100,0.5,0.2,4,4
GA/global,1,crossover_rate,0.7,21,1.8666666666666667,4.0,0,4,3,1.0204247877553927,60,100,0.7,0.2,4,4
GA/global,1,crossover_rate,0.85,21,1.8444444444444443,4.0,0,4,3,1.0745905029337641,60,100,0.85,0.2,4,4
GA/global,1,crossover_rate,0.95,21,1.8444444444444443,4.0,0,4,3,1.1557166882219057,60,100,0.95,0.2,4,4
GA/global,1,mutation_rate,0.05,21,1.8666666666666667,4.0,0,4,3,1.1568074585788257,60,100,0.85,0.05,4,4
GA/global,1,mutation_rate,0.1,21,1.8666666666666667,4.0,0,4,3,1.039551034778237,60,100,0.85,0.1,4,4
GA/global,1,mutation_rate,0.2,21,1.8444444444444443,4.0,0,4,3,1.0687185628443936,60,100,0.85,0.2,4,4
GA/global,1,mutation_rate,0.4,21,1.8666666666666667,4.0,0,4,3,1.1230356390665595,60,100,0.85,0.4,4,4
GA/global,1,elite_count,2,21,1.8666666666666667,4.0,0,4,3,1.1170427349114713,60,100,0.85,0.2,2,4
GA/global,1,elite_count,4,21,1.8444444444444443,4.0,0,4,3,1.0690097002448358,60,100,0.85,0.2,4,4
GA/global,1,elite_count,6,21,1.8666666666666667,4.0,0,4,3,1.0168098463112578,60,100,0.85,0.2,6,4
GA/global,1,elite_count,8,21,1.8666666666666667,4.0,0,4,3,0.9870120691555107,60,100,0.85,0.2,8,4
GA/global,1,tournament_k,2,21,1.8666666666666667,4.0,0,4,3,1.1674768620446332,60,100,0.85,0.2,4,2
GA/global,1,tournament_k,3,21,1.8444444444444443,4.0,0,4,3,1.0957249944668244,60,100,0.85,0.2,4,3
GA/global,1,tournament_k,4,21,1.8444444444444443,4.0,0,4,3,1.0924893551109158,60,100,0.85,0.2,4,4
GA/global,1,tournament_k,6,21,1.8666666666666667,4.0,0,4,3,1.0749119807326577,60,100,0.85,0.2,4,6
