label,round,parameter,value,runs,avg_gap,worst_dataset_avg_gap,best_gap,worst_gap,exact_hits,avg_time,population_size,generations,crossover_rate,mutation_rate,elite_count,tournament_k
GA/scholl-1,0,initial,,3,0.0,0.0,0,0,3,3.2959219586664403,60,400,0.85,0.2,4,4
GA/scholl-1,1,population_size,20,3,0.0,0.0,0,0,3,1.0729255026672035,20,400,0.85,0.2,4,4
GA/scholl-1,1,population_size,40,3,0.0,0.0,0,0,3,2.186627230667606,40,400,0.85,0.2,4,4
GA/scholl-1,1,population_size,60,3,0.0,0.0,0,0,3,2.5273450290005712,60,400,0.85,0.2,4,4
GA/scholl-1,1,population_size,100,3,0.0,0.0,0,0,3,4.729813481333015,100,400,0.85,0.2,4,4
GA/scholl-1,1,generations,100,3,0.0,0.0,0,0,3,0.2560739593342684,20,100,0.85,0.2,4,4
GA/scholl-1,1,generations,200,3,0.0,0.0,0,0,3,0.450604807666726,20,200,0.85,0.2,4,4
GA/scholl-1,1,generations,300,3,0.0,0.0,0,0,3,0.5820195913329371,20,300,0.85,0.2,4,4
GA/scholl-1,1,generations,400,3,0.0,0.0,0,0,3,0.794876024331946,20,400,0.85,0.2,4,4
GA/scholl-1,1,crossover_rate,0.5,3,0.0,0.0,0,0,3,0.1442250973317035,20,100,0.5,0.2,4,4
GA/scholl-1,1,crossover_rate,0.7,3,0.0,0.0,0,0,3,0.16682215999874947,20,100,0.7,0.2,4,4
GA/scholl-1,1,crossover_rate,0.85,3,0.0,0.0,0,0,3,0.1844827973327483,20,100,0.85,0.2,4,4
GA/scholl-1,1,crossover_rate,0.95,3,0.0,0.0,0,0,3,0.18724728533319043,20,100,0.95,0.2,4,4
GA/scholl-1,1,mutation_rate,0.05,3,0.0,0.0,0,0,3,0.13737897966833165,20,100,0.5,0.05,4,4
GA/scholl-1,1,mutation_rate,0.1,3,0.0,0.0,0,0,3,0.14524866533247405,20,100,0.5,0.1,4,4
GA/scholl-1,1,mutation_rate,0.2,3,0.0,0.0,0,0,3,0.13909132933501192,20,100,0.5,0.2,4,4
GA/scholl-1,1,mutation_rate,0.4,3,0.0,0.0,0,0,3,0.15319607066582344,20,100,0.5,0.4,4,4
GA/scholl-1,1,elite_count,2,3,0.0,0.0,0,0,3,0.15421114066703012,20,100,0.5,0.05,2,4
GA/scholl-1,1,elite_count,4,3,0.0,0.0,0,0,3,0.14372656566774822,20,100,0.5,0.05,4,4
GA/scholl-1,1,elite_count,6,3,0.0,0.0,0,0,3,0.126962836333405,20,100,0.5,0.05,6,4
GA/scholl-1,1,elite_count,8,3,0.0,0.0,0,0,3,0.10688168566654592,20,100,0.5,0.05,8,4
GA/scholl-1,1,tournament_k,2,3,0.0,0.0,0,0,3,0.0951023383337694,20,100,0.5,0.05,8,2
GA/scholl-1,1,tournament_k,3,3,0.0,0.0,0,0,3,0.11124521966606456,20,100,0.5,0.05,8,3
GA/scholl-1,1,tournament_k,4,3,0.0,0.0,0,0,3,0.10984338666700448,20,100,0.5,0.05,8,4
GA/scholl-1,1,tournament_k,6,3,0.0,0.0,0,0,3,0.11327455866679277,20,100,0.5,0.05,8,6
