dataset,instance,items,capacity,total_weight,seed,method,bins,lower_bound,gap,elapsed_time,fill_rate
falkenauer-t,Falkenauer_t60_00,60,1000,20000,0,GA,21,20,1,4.2332302189970505,95.23809523809523
falkenauer-t,Falkenauer_t60_00,60,1000,20000,0,GA tuned global,21,20,1,0.9215601409996452,95.23809523809523
falkenauer-t,Falkenauer_t60_00,60,1000,20000,0,GA island,21,20,1,4.49881095100136,95.23809523809523
falkenauer-t,Falkenauer_t60_00,60,1000,20000,0,ACO tuned global,22,20,2,3.432581640998251,90.9090909090909
falkenauer-u,Falkenauer_u120_00,120,150,7078,0,GA,49,48,1,8.574923832999048,96.29931972789116
falkenauer-u,Falkenauer_u120_00,120,150,7078,0,GA tuned global,49,48,1,2.208716680001089,96.29931972789116
falkenauer-u,Falkenauer_u120_00,120,150,7078,0,GA island,49,48,1,11.50610119400153,96.29931972789116
falkenauer-u,Falkenauer_u120_00,120,150,7078,0,ACO tuned global,49,48,1,12.284711022999545,96.29931972789116
falkenauer-u,Falkenauer_u250_00,250,150,14783,0,GA,100,99,1,20.042453714002477,98.55333333333334
falkenauer-u,Falkenauer_u250_00,250,150,14783,0,GA tuned global,100,99,1,5.279155717998947,98.55333333333334
falkenauer-u,Falkenauer_u250_00,250,150,14783,0,GA island,100,99,1,27.1466939919992,98.55333333333334
falkenauer-u,Falkenauer_u250_00,250,150,14783,0,ACO tuned global,100,99,1,51.16479647599772,98.55333333333334
scholl-1,N1C1W1_A,50,100,2434,0,GA,25,25,0,4.498299307000707,97.36
scholl-1,N1C1W1_A,50,100,2434,0,GA tuned global,25,25,0,1.1490873149996332,97.36
scholl-1,N1C1W1_A,50,100,2434,0,GA island,25,25,0,4.951777884001785,97.36
scholl-1,N1C1W1_A,50,100,2434,0,ACO tuned global,25,25,0,2.4686693850017036,97.36
scholl-2,N1W1B1R0,50,1000,16934,0,GA,19,17,2,3.597027084000729,89.1263157894737
scholl-2,N1W1B1R0,50,1000,16934,0,GA tuned global,19,17,2,0.936490080999647,89.1263157894737
scholl-2,N1W1B1R0,50,1000,16934,0,GA island,19,17,2,4.192379838001216,89.1263157894737
scholl-2,N1W1B1R0,50,1000,16934,0,ACO tuned global,18,17,1,2.5848885820014402,94.07777777777778
scholl-2,N2W1B1R0,100,1000,32894,0,GA,35,33,2,6.785408569001447,93.98285714285714
scholl-2,N2W1B1R0,100,1000,32894,0,GA tuned global,35,33,2,1.6981341899991094,93.98285714285714
scholl-2,N2W1B1R0,100,1000,32894,0,GA island,35,33,2,8.867148012999678,93.98285714285714
scholl-2,N2W1B1R0,100,1000,32894,0,ACO tuned global,34,33,1,9.261023612998542,96.74705882352941
scholl-2,N3W1B1R0,200,1000,66551,0,GA,70,67,3,13.661009502000525,95.07285714285715
scholl-2,N3W1B1R0,200,1000,66551,0,GA tuned global,70,67,3,3.7324422000019695,95.07285714285715
scholl-2,N3W1B1R0,200,1000,66551,0,GA island,71,67,4,19.230761457998597,93.73380281690142
scholl-2,N3W1B1R0,200,1000,66551,0,ACO tuned global,70,67,3,33.746176791002654,95.07285714285715
scholl-3,HARD0,200,100000,5440282,0,GA,59,55,4,12.155991657000413,92.20816949152542
scholl-3,HARD0,200,100000,5440282,0,GA tuned global,59,55,4,3.2460700269984955,92.20816949152542
scholl-3,HARD0,200,100000,5440282,0,GA island,59,55,4,14.711473393999768,92.20816949152542
scholl-3,HARD0,200,100000,5440282,0,ACO tuned global,59,55,4,34.25233298300009,92.20816949152542
